studentId,class
1,12D
2,1S
3,4N
4,11E
5,3J
6,12J
7,9H
8,4I
9,4B
10,5V
11,5H
12,12D
13,6E
14,2F
15,5U
16,1C
17,5X
18,11Y
19,11Z
20,5A
21,5S
22,10N
23,12I
24,11H
25,8Z
26,2P
27,1J
28,10E
29,4N
30,1K
31,1Z
32,7R
33,4I
34,8Q
35,2K
36,10E
37,2X
38,3F
39,3F
40,3O
41,7K
42,4K
43,11V
44,2R
45,1F
46,10X
47,4L
48,12F
49,8C
50,10H
51,8A
52,1W
53,1Q
54,9O
55,8Q
56,11D
57,3D
58,3F
59,12O
60,1E
61,11B
62,9O
63,12K
64,7E
65,7S
66,1I
67,6R
68,12K
69,10S
70,4W
71,1F
72,1Z
73,7Y
74,2V
75,10Y
76,2V
77,1I
78,3N
79,10L
80,4P
81,4O
82,12Z
83,8I
84,4U
85,6S
86,5B
87,2P
88,6K
89,7G
90,1W
91,1V
92,7R
93,8C
94,3O
95,12P
96,4E
97,6C
98,2K
99,8T
100,1O
101,8W
102,7Q
103,6H
104,3X
105,11A
106,11X
107,4J
108,10H
109,3W
110,9U
111,1D
112,8G
113,2A
114,9N
115,9Q
116,1D
117,12X
118,5L
119,2K
120,10J
121,10A
122,9Y
123,9F
124,3K
125,4R
126,6X
127,12E
128,12T
129,1B
130,9K
131,11P
132,8T
133,1I
134,11U
135,1C
136,8U
137,1T
138,1L
139,4C
140,2U
141,5J
142,11H
143,11A
144,10B
145,10L
146,6F
147,7Z
148,12L
149,5H
150,7L
151,3E
152,3S
153,3G
154,7L
155,11B
156,1R
157,7T
158,1L
159,1X
160,1S
161,11W
162,9Q
163,2Y
164,1Z
165,8P
166,8N
167,5R
168,12F
169,9D
170,3V
171,2Q
172,10Z
173,4E
174,7S
175,6T
176,5Z
177,10T
178,12T
179,6W
180,1L
181,12Q
182,3B
183,6E
184,7J
185,8S
186,12Z
187,8T
188,5T
189,11N
190,4P
191,7N
192,4R
193,7X
194,9C
195,3P
196,6G
197,11K
198,10D
199,9Y
200,8G
201,2L
202,8A
203,5G
204,4L
205,12K
206,7D
207,4Q
208,2D
209,2F
210,3C
211,10B
212,11V
213,12H
214,5M
215,3I
216,9P
217,6L
218,11R
219,3D
220,8G
221,1D
222,3S
223,1I
224,6W
225,3V
226,8I
227,7F
228,9Y
229,5K
230,8X
231,8K
232,2Z
233,3Q
234,4D
235,9Y
236,6I
237,2F
238,7T
239,2J
240,4O
241,11D
242,6N
243,4M
244,11W
245,4G
246,2J
247,9A
248,6F
249,6M
250,7Z
251,12E
252,10Q
253,12J
254,12K
255,11E
256,11J
257,7C
258,8F
259,5U
260,5N
261,5X
262,7T
263,7R
264,12V
265,5U
266,1R
267,6T
268,8I
269,9B
270,11A
271,8J
272,3M
273,7H
274,11A
275,7G
276,3M
277,7J
278,9C
279,9R
280,7T
281,4M
282,1X
283,11Z
284,5A
285,4D
286,7W
287,7O
288,11S
289,11P
290,1H
291,12D
292,8G
293,3N
294,9O
295,5S
296,7C
297,12D
298,5H
299,5K
300,12U
301,12I
302,5S
303,7K
304,1R
305,8X
306,3P
307,12F
308,4E
309,3A
310,5I
311,3N
312,12N
313,7O
314,12P
315,11D
316,3V
317,7P
318,5R
319,6C
320,3G
321,2Z
322,12Q
323,9S
324,12R
325,4M
326,10F
327,4B
328,9C
329,3C
330,9Y
331,2H
332,8K
333,5R
334,10R
335,8O
336,9F
337,4F
338,5J
339,4U
340,4J
341,4E
342,5L
343,1G
344,6P
345,7R
346,8R
347,2V
348,9O
349,12T
350,6N
351,12E
352,1G
353,5G
354,2S
355,8V
356,4R
357,9R
358,6L
359,10C
360,3S
361,7Q
362,11N
363,3L
364,8U
365,2K
366,3O
367,2C
368,10F
369,7H
370,10A
371,4E
372,7K
373,1N
374,11G
375,3A
376,7W
377,10V
378,5R
379,12Z
380,1G
381,2W
382,9Z
383,7R
384,9R
385,5W
386,2P
387,7J
388,3E
389,11R
390,7C
391,4B
392,3M
393,4L
394,9Y
395,11Q
396,3N
397,8G
398,5T
399,5P
400,3M
401,10Q
402,12F
403,6W
404,11D
405,6M
406,2Z
407,10P
408,11X
409,3J
410,5K
411,6Q
412,5E
413,11H
414,5U
415,12L
416,2U
417,11N
418,5H
419,8F
420,9S
421,7U
422,2L
423,6D
424,1G
425,1Q
426,7V
427,5X
428,11P
429,9B
430,11Z
431,11Z
432,1K
433,10H
434,10P
435,2V
436,5D
437,9X
438,3W
439,11E
440,9U
441,5I
442,3L
443,9J
444,4U
445,12G
446,10D
447,11X
448,9D
449,6Y
450,6B
451,8J
452,12C
453,2P
454,10U
455,5Z
456,6Z
457,11W
458,3C
459,8D
460,10B
461,4T
462,5Z
463,4A
464,11S
465,2M
466,3N
467,8C
468,5P
469,1H
470,4P
471,11H
472,8M
473,6C
474,6G
475,9N
476,2R
477,6N
478,4L
479,12W
480,5B
481,1Q
482,4O
483,7D
484,11X
485,5H
486,7R
487,8O
488,4R
489,3R
490,10B
491,6J
492,10C
493,12G
494,6L
495,6U
496,3J
497,6T
498,11H
499,1E
500,3F
501,10M
502,12Z
503,4W
504,3O
505,5F
506,5R
507,4T
